goal_code,goal_labelEN,goal_descEN,target_code,target_descEN,indicator_code,indicator_reference,indicator_tier,indicator_custodians,indicator_descEN,series_release,series_tags,series,seriesDescription,geoAreaCode,geoAreaName,level,parentCode,parentName,type,X,Y,ISO3,UN_Member,Country_Profile,typeOfSkill_code,typeOfSkill_desc,years,min_year,max_year,n_years,unitsCode,unitsDesc,reportingTypeCode,reportingTypeDesc,value_2012,value_2015,latest_value,basePeriod,valueDetails,footnotes,sources,timeDetails,nature
4,Goal 4,Ensure inclusive and equitable quality education and promote lifelong learning opportunities for all,4.5,"By 2030, eliminate gender disparities in education and ensure equal access to all levels of education and vocational training for the vulnerable, including persons with disabilities, indigenous peoples and children in vulnerable situations",C040501,4.5.1,I/II/III,UNESCO-UIS,"Parity indices (female/male, rural/urban, bottom/top wealth quintile and others such as disability status, indigenous peoples and conflict-affected, as data become available) for all education indicators on this list that can be disaggregated",2019.Q4.G.01,"['education', 'migrants']",SE_IMP_FPOF,"Immigration status parity index for achieving at least a fixed level of proficiency in functional skills, by numeracy/literacy skills (ratio)",124,Canada,4,21,Northern America,Country,-101.6575058,57.72360191,CAN,1,1,SKILL_LTRCY,Literacy,[2012],2012,2012,1,RO,Ratio,G,Global,0.83656,,0.83656,,,,Programme for the International Assessment of Adult Competencies (PIAAC),,C: Country data
4,Goal 4,Ensure inclusive and equitable quality education and promote lifelong learning opportunities for all,4.5,"By 2030, eliminate gender disparities in education and ensure equal access to all levels of education and vocational training for the vulnerable, including persons with disabilities, indigenous peoples and children in vulnerable situations",C040501,4.5.1,I/II/III,UNESCO-UIS,"Parity indices (female/male, rural/urban, bottom/top wealth quintile and others such as disability status, indigenous peoples and conflict-affected, as data become available) for all education indicators on this list that can be disaggregated",2019.Q4.G.01,"['education', 'migrants']",SE_IMP_FPOF,"Immigration status parity index for achieving at least a fixed level of proficiency in functional skills, by numeracy/literacy skills (ratio)",124,Canada,4,21,Northern America,Country,-101.6575058,57.72360191,CAN,1,1,SKILL_NMRCY,Numeracy,[2012],2012,2012,1,RO,Ratio,G,Global,0.82447,,0.82447,,,,Programme for the International Assessment of Adult Competencies (PIAAC),,C: Country data
4,Goal 4,Ensure inclusive and equitable quality education and promote lifelong learning opportunities for all,4.5,"By 2030, eliminate gender disparities in education and ensure equal access to all levels of education and vocational training for the vulnerable, including persons with disabilities, indigenous peoples and children in vulnerable situations",C040501,4.5.1,I/II/III,UNESCO-UIS,"Parity indices (female/male, rural/urban, bottom/top wealth quintile and others such as disability status, indigenous peoples and conflict-affected, as data become available) for all education indicators on this list that can be disaggregated",2019.Q4.G.01,"['education', 'migrants']",SE_IMP_FPOF,"Immigration status parity index for achieving at least a fixed level of proficiency in functional skills, by numeracy/literacy skills (ratio)",152,Chile,5,5,South America,Country,-71.23029019,-35.2652885,CHL,1,1,SKILL_LTRCY,Literacy,[2015],2015,2015,1,RO,Ratio,G,Global,,1.07227,1.07227,,,,Programme for the International Assessment of Adult Competencies (PIAAC),,C: Country data
4,Goal 4,Ensure inclusive and equitable quality education and promote lifelong learning opportunities for all,4.5,"By 2030, eliminate gender disparities in education and ensure equal access to all levels of education and vocational training for the vulnerable, including persons with disabilities, indigenous peoples and children in vulnerable situations",C040501,4.5.1,I/II/III,UNESCO-UIS,"Parity indices (female/male, rural/urban, bottom/top wealth quintile and others such as disability status, indigenous peoples and conflict-affected, as data become available) for all education indicators on this list that can be disaggregated",2019.Q4.G.01,"['education', 'migrants']",SE_IMP_FPOF,"Immigration status parity index for achieving at least a fixed level of proficiency in functional skills, by numeracy/literacy skills (ratio)",152,Chile,5,5,South America,Country,-71.23029019,-35.2652885,CHL,1,1,SKILL_NMRCY,Numeracy,[2015],2015,2015,1,RO,Ratio,G,Global,,1.17131,1.17131,,,,Programme for the International Assessment of Adult Competencies (PIAAC),,C: Country data
4,Goal 4,Ensure inclusive and equitable quality education and promote lifelong learning opportunities for all,4.5,"By 2030, eliminate gender disparities in education and ensure equal access to all levels of education and vocational training for the vulnerable, including persons with disabilities, indigenous peoples and children in vulnerable situations",C040501,4.5.1,I/II/III,UNESCO-UIS,"Parity indices (female/male, rural/urban, bottom/top wealth quintile and others such as disability status, indigenous peoples and conflict-affected, as data become available) for all education indicators on this list that can be disaggregated",2019.Q4.G.01,"['education', 'migrants']",SE_IMP_FPOF,"Immigration status parity index for achieving at least a fixed level of proficiency in functional skills, by numeracy/literacy skills (ratio)",196,Cyprus,4,145,Western Asia,Country,33.22285964,35.05659437,CYP,1,1,SKILL_LTRCY,Literacy,[2012],2012,2012,1,RO,Ratio,G,Global,0.9027,,0.9027,,,,Programme for the International Assessment of Adult Competencies (PIAAC),,C: Country data
4,Goal 4,Ensure inclusive and equitable quality education and promote lifelong learning opportunities for all,4.5,"By 2030, eliminate gender disparities in education and ensure equal access to all levels of education and vocational training for the vulnerable, including persons with disabilities, indigenous peoples and children in vulnerable situations",C040501,4.5.1,I/II/III,UNESCO-UIS,"Parity indices (female/male, rural/urban, bottom/top wealth quintile and others such as disability status, indigenous peoples and conflict-affected, as data become available) for all education indicators on this list that can be disaggregated",2019.Q4.G.01,"['education', 'migrants']",SE_IMP_FPOF,"Immigration status parity index for achieving at least a fixed level of proficiency in functional skills, by numeracy/literacy skills (ratio)",196,Cyprus,4,145,Western Asia,Country,33.22285964,35.05659437,CYP,1,1,SKILL_NMRCY,Numeracy,[2012],2012,2012,1,RO,Ratio,G,Global,0.96282,,0.96282,,,,Programme for the International Assessment of Adult Competencies (PIAAC),,C: Country data
4,Goal 4,Ensure inclusive and equitable quality education and promote lifelong learning opportunities for all,4.5,"By 2030, eliminate gender disparities in education and ensure equal access to all levels of education and vocational training for the vulnerable, including persons with disabilities, indigenous peoples and children in vulnerable situations",C040501,4.5.1,I/II/III,UNESCO-UIS,"Parity indices (female/male, rural/urban, bottom/top wealth quintile and others such as disability status, indigenous peoples and conflict-affected, as data become available) for all education indicators on this list that can be disaggregated",2019.Q4.G.01,"['education', 'migrants']",SE_IMP_FPOF,"Immigration status parity index for achieving at least a fixed level of proficiency in functional skills, by numeracy/literacy skills (ratio)",203,Czechia,4,151,Eastern Europe,Country,15.33151382,49.73913871,CZE,1,1,SKILL_NMRCY,Numeracy,[2012],2012,2012,1,RO,Ratio,G,Global,0.89655,,0.89655,,,,Programme for the International Assessment of Adult Competencies (PIAAC),,C: Country data
4,Goal 4,Ensure inclusive and equitable quality education and promote lifelong learning opportunities for all,4.5,"By 2030, eliminate gender disparities in education and ensure equal access to all levels of education and vocational training for the vulnerable, including persons with disabilities, indigenous peoples and children in vulnerable situations",C040501,4.5.1,I/II/III,UNESCO-UIS,"Parity indices (female/male, rural/urban, bottom/top wealth quintile and others such as disability status, indigenous peoples and conflict-affected, as data become available) for all education indicators on this list that can be disaggregated",2019.Q4.G.01,"['education', 'migrants']",SE_IMP_FPOF,"Immigration status parity index for achieving at least a fixed level of proficiency in functional skills, by numeracy/literacy skills (ratio)",203,Czechia,4,151,Eastern Europe,Country,15.33151382,49.73913871,CZE,1,1,SKILL_LTRCY,Literacy,[2012],2012,2012,1,RO,Ratio,G,Global,0.93911,,0.93911,,,,Programme for the International Assessment of Adult Competencies (PIAAC),,C: Country data
4,Goal 4,Ensure inclusive and equitable quality education and promote lifelong learning opportunities for all,4.5,"By 2030, eliminate gender disparities in education and ensure equal access to all levels of education and vocational training for the vulnerable, including persons with disabilities, indigenous peoples and children in vulnerable situations",C040501,4.5.1,I/II/III,UNESCO-UIS,"Parity indices (female/male, rural/urban, bottom/top wealth quintile and others such as disability status, indigenous peoples and conflict-affected, as data become available) for all education indicators on this list that can be disaggregated",2019.Q4.G.01,"['education', 'migrants']",SE_IMP_FPOF,"Immigration status parity index for achieving at least a fixed level of proficiency in functional skills, by numeracy/literacy skills (ratio)",208,Denmark,4,154,Northern Europe,Country,9.326571283,56.03829721,DNK,1,1,SKILL_NMRCY,Numeracy,[2012],2012,2012,1,RO,Ratio,G,Global,0.73527,,0.73527,,,,Programme for the International Assessment of Adult Competencies (PIAAC),,C: Country data
4,Goal 4,Ensure inclusive and equitable quality education and promote lifelong learning opportunities for all,4.5,"By 2030, eliminate gender disparities in education and ensure equal access to all levels of education and vocational training for the vulnerable, including persons with disabilities, indigenous peoples and children in vulnerable situations",C040501,4.5.1,I/II/III,UNESCO-UIS,"Parity indices (female/male, rural/urban, bottom/top wealth quintile and others such as disability status, indigenous peoples and conflict-affected, as data become available) for all education indicators on this list that can be disaggregated",2019.Q4.G.01,"['education', 'migrants']",SE_IMP_FPOF,"Immigration status parity index for achieving at least a fixed level of proficiency in functional skills, by numeracy/literacy skills (ratio)",208,Denmark,4,154,Northern Europe,Country,9.326571283,56.03829721,DNK,1,1,SKILL_LTRCY,Literacy,[2012],2012,2012,1,RO,Ratio,G,Global,0.70278,,0.70278,,,,Programme for the International Assessment of Adult Competencies (PIAAC),,C: Country data
