goal_code	goal_labelEN	goal_descEN	target_code	target_descEN	indicator_code	indicator_reference	indicator_descEN	series_release	series_tags	series	seriesDescription	geoAreaCode	geoAreaName	level	parentCode	parentName	type	X	Y	ISO3	UN_Member	Country_Profile	timeCoverage	geoInfoUrl	typeOfSkill_code	typeOfSkill_desc	years	min_year	max_year	n_years	unitsCode	unitsDesc	reportingTypeCode	reportingTypeDesc	value_2014	value_2015	value_2016	value_2017	value_2018	latest_value	basePeriod	valueDetails	footnotes	sources	timeDetails	nature
4	Goal 4	Ensure inclusive and equitable quality education and promote lifelong learning opportunities for all	4.5	By 2030, eliminate gender disparities in education and ensure equal access to all levels of education and vocational training for the vulnerable, including persons with disabilities, indigenous peoples and children in vulnerable situations	C040501	4.5.1	Parity indices (female/male, rural/urban, bottom/top wealth quintile and others such as disability status, indigenous peoples and conflict-affected, as data become available) for all education indicators on this list that can be disaggregated	2020.Q2.G.03	['computer literacy', 'youth', 'advancement of women', 'gender equality', 'women', 'children', 'girls']	SE_GPI_ICTS	Gender parity index for youth/adults with information and communications technology (ICT) skills, by type of skill (ratio)	191	Croatia	4	39	Southern Europe	Country	17.95874553	45.45172212	HRV	1	1			SKILL_ICTPST	Creating electronic presentations with presentation software	[2016]	2016	2016	1	RO	Ratio	G	Global			0.85169			0.85169				Community survey on ICT usage in households and by individuals (Eurostat)		C: Country data
4	Goal 4	Ensure inclusive and equitable quality education and promote lifelong learning opportunities for all	4.5	By 2030, eliminate gender disparities in education and ensure equal access to all levels of education and vocational training for the vulnerable, including persons with disabilities, indigenous peoples and children in vulnerable situations	C040501	4.5.1	Parity indices (female/male, rural/urban, bottom/top wealth quintile and others such as disability status, indigenous peoples and conflict-affected, as data become available) for all education indicators on this list that can be disaggregated	2020.Q2.G.03	['computer literacy', 'youth', 'advancement of women', 'gender equality', 'women', 'children', 'girls']	SE_GPI_ICTS	Gender parity index for youth/adults with information and communications technology (ICT) skills, by type of skill (ratio)	191	Croatia	4	39	Southern Europe	Country	17.95874553	45.45172212	HRV	1	1			SKILL_ICTPRGM	Writing a computer program using a specialized programming language	[2016]	2016	2016	1	RO	Ratio	G	Global			0.33645			0.33645				Community survey on ICT usage in households and by individuals (Eurostat)		C: Country data
4	Goal 4	Ensure inclusive and equitable quality education and promote lifelong learning opportunities for all	4.5	By 2030, eliminate gender disparities in education and ensure equal access to all levels of education and vocational training for the vulnerable, including persons with disabilities, indigenous peoples and children in vulnerable situations	C040501	4.5.1	Parity indices (female/male, rural/urban, bottom/top wealth quintile and others such as disability status, indigenous peoples and conflict-affected, as data become available) for all education indicators on this list that can be disaggregated	2020.Q2.G.03	['computer literacy', 'youth', 'advancement of women', 'gender equality', 'women', 'children', 'girls']	SE_GPI_ICTS	Gender parity index for youth/adults with information and communications technology (ICT) skills, by type of skill (ratio)	191	Croatia	4	39	Southern Europe	Country	17.95874553	45.45172212	HRV	1	1			SKILL_ICTCPT	Using copy and paste tools to duplicate or move information within a document	[2016]	2016	2016	1	RO	Ratio	G	Global			0.84202			0.84202				Community survey on ICT usage in households and by individuals (Eurostat)		C: Country data
4	Goal 4	Ensure inclusive and equitable quality education and promote lifelong learning opportunities for all	4.5	By 2030, eliminate gender disparities in education and ensure equal access to all levels of education and vocational training for the vulnerable, including persons with disabilities, indigenous peoples and children in vulnerable situations	C040501	4.5.1	Parity indices (female/male, rural/urban, bottom/top wealth quintile and others such as disability status, indigenous peoples and conflict-affected, as data become available) for all education indicators on this list that can be disaggregated	2020.Q2.G.03	['computer literacy', 'youth', 'advancement of women', 'gender equality', 'women', 'children', 'girls']	SE_GPI_ICTS	Gender parity index for youth/adults with information and communications technology (ICT) skills, by type of skill (ratio)	191	Croatia	4	39	Southern Europe	Country	17.95874553	45.45172212	HRV	1	1			SKILL_ICTCMFL	Copying or moving a file or folder	[2016]	2016	2016	1	RO	Ratio	G	Global			0.8209			0.8209				Community survey on ICT usage in households and by individuals (Eurostat)		C: Country data
4	Goal 4	Ensure inclusive and equitable quality education and promote lifelong learning opportunities for all	4.5	By 2030, eliminate gender disparities in education and ensure equal access to all levels of education and vocational training for the vulnerable, including persons with disabilities, indigenous peoples and children in vulnerable situations	C040501	4.5.1	Parity indices (female/male, rural/urban, bottom/top wealth quintile and others such as disability status, indigenous peoples and conflict-affected, as data become available) for all education indicators on this list that can be disaggregated	2020.Q2.G.03	['computer literacy', 'youth', 'advancement of women', 'gender equality', 'women', 'children', 'girls']	SE_GPI_ICTS	Gender parity index for youth/adults with information and communications technology (ICT) skills, by type of skill (ratio)	196	Cyprus	4	145	Western Asia	Country	33.22285964	35.05659437	CYP	1	1			SKILL_ICTPRGM	Writing a computer program using a specialized programming language	[2016]	2016	2016	1	RO	Ratio	G	Global			0.38095			0.38095				International Telecommunication Union (ITU)		C: Country data
4	Goal 4	Ensure inclusive and equitable quality education and promote lifelong learning opportunities for all	4.5	By 2030, eliminate gender disparities in education and ensure equal access to all levels of education and vocational training for the vulnerable, including persons with disabilities, indigenous peoples and children in vulnerable situations	C040501	4.5.1	Parity indices (female/male, rural/urban, bottom/top wealth quintile and others such as disability status, indigenous peoples and conflict-affected, as data become available) for all education indicators on this list that can be disaggregated	2020.Q2.G.03	['computer literacy', 'youth', 'advancement of women', 'gender equality', 'women', 'children', 'girls']	SE_GPI_ICTS	Gender parity index for youth/adults with information and communications technology (ICT) skills, by type of skill (ratio)	196	Cyprus	4	145	Western Asia	Country	33.22285964	35.05659437	CYP	1	1			SKILL_ICTSFWR	Finding, downloading, installing and configuring software	[2016]	2016	2016	1	RO	Ratio	G	Global			0.87771			0.87771				International Telecommunication Union (ITU)		C: Country data
4	Goal 4	Ensure inclusive and equitable quality education and promote lifelong learning opportunities for all	4.5	By 2030, eliminate gender disparities in education and ensure equal access to all levels of education and vocational training for the vulnerable, including persons with disabilities, indigenous peoples and children in vulnerable situations	C040501	4.5.1	Parity indices (female/male, rural/urban, bottom/top wealth quintile and others such as disability status, indigenous peoples and conflict-affected, as data become available) for all education indicators on this list that can be disaggregated	2020.Q2.G.03	['computer literacy', 'youth', 'advancement of women', 'gender equality', 'women', 'children', 'girls']	SE_GPI_ICTS	Gender parity index for youth/adults with information and communications technology (ICT) skills, by type of skill (ratio)	196	Cyprus	4	145	Western Asia	Country	33.22285964	35.05659437	CYP	1	1			SKILL_ICTTRFF	Transferring files between a computer and other devices	[2016]	2016	2016	1	RO	Ratio	G	Global			0.95909			0.95909				International Telecommunication Union (ITU)		C: Country data
4	Goal 4	Ensure inclusive and equitable quality education and promote lifelong learning opportunities for all	4.5	By 2030, eliminate gender disparities in education and ensure equal access to all levels of education and vocational training for the vulnerable, including persons with disabilities, indigenous peoples and children in vulnerable situations	C040501	4.5.1	Parity indices (female/male, rural/urban, bottom/top wealth quintile and others such as disability status, indigenous peoples and conflict-affected, as data become available) for all education indicators on this list that can be disaggregated	2020.Q2.G.03	['computer literacy', 'youth', 'advancement of women', 'gender equality', 'women', 'children', 'girls']	SE_GPI_ICTS	Gender parity index for youth/adults with information and communications technology (ICT) skills, by type of skill (ratio)	196	Cyprus	4	145	Western Asia	Country	33.22285964	35.05659437	CYP	1	1			SKILL_ICTSSHT	Using basic arithmetic formula in a spreadsheet	[2016]	2016	2016	1	RO	Ratio	G	Global			1.20207			1.20207				International Telecommunication Union (ITU)		C: Country data
4	Goal 4	Ensure inclusive and equitable quality education and promote lifelong learning opportunities for all	4.5	By 2030, eliminate gender disparities in education and ensure equal access to all levels of education and vocational training for the vulnerable, including persons with disabilities, indigenous peoples and children in vulnerable situations	C040501	4.5.1	Parity indices (female/male, rural/urban, bottom/top wealth quintile and others such as disability status, indigenous peoples and conflict-affected, as data become available) for all education indicators on this list that can be disaggregated	2020.Q2.G.03	['computer literacy', 'youth', 'advancement of women', 'gender equality', 'women', 'children', 'girls']	SE_GPI_ICTS	Gender parity index for youth/adults with information and communications technology (ICT) skills, by type of skill (ratio)	196	Cyprus	4	145	Western Asia	Country	33.22285964	35.05659437	CYP	1	1			SKILL_ICTPST	Creating electronic presentations with presentation software	[2016]	2016	2016	1	RO	Ratio	G	Global			1.16102			1.16102				International Telecommunication Union (ITU)		C: Country data
4	Goal 4	Ensure inclusive and equitable quality education and promote lifelong learning opportunities for all	4.5	By 2030, eliminate gender disparities in education and ensure equal access to all levels of education and vocational training for the vulnerable, including persons with disabilities, indigenous peoples and children in vulnerable situations	C040501	4.5.1	Parity indices (female/male, rural/urban, bottom/top wealth quintile and others such as disability status, indigenous peoples and conflict-affected, as data become available) for all education indicators on this list that can be disaggregated	2020.Q2.G.03	['computer literacy', 'youth', 'advancement of women', 'gender equality', 'women', 'children', 'girls']	SE_GPI_ICTS	Gender parity index for youth/adults with information and communications technology (ICT) skills, by type of skill (ratio)	196	Cyprus	4	145	Western Asia	Country	33.22285964	35.05659437	CYP	1	1			SKILL_ICTCPT	Using copy and paste tools to duplicate or move information within a document	[2016]	2016	2016	1	RO	Ratio	G	Global			1.14109			1.14109				International Telecommunication Union (ITU)		C: Country data
4	Goal 4	Ensure inclusive and equitable quality education and promote lifelong learning opportunities for all	4.5	By 2030, eliminate gender disparities in education and ensure equal access to all levels of education and vocational training for the vulnerable, including persons with disabilities, indigenous peoples and children in vulnerable situations	C040501	4.5.1	Parity indices (female/male, rural/urban, bottom/top wealth quintile and others such as disability status, indigenous peoples and conflict-affected, as data become available) for all education indicators on this list that can be disaggregated	2020.Q2.G.03	['computer literacy', 'youth', 'advancement of women', 'gender equality', 'women', 'children', 'girls']	SE_GPI_ICTS	Gender parity index for youth/adults with information and communications technology (ICT) skills, by type of skill (ratio)	196	Cyprus	4	145	Western Asia	Country	33.22285964	35.05659437	CYP	1	1			SKILL_ICTCMFL	Copying or moving a file or folder	[2016]	2016	2016	1	RO	Ratio	G	Global			0.99599			0.99599				International Telecommunication Union (ITU)		C: Country data
4	Goal 4	Ensure inclusive and equitable quality education and promote lifelong learning opportunities for all	4.5	By 2030, eliminate gender disparities in education and ensure equal access to all levels of education and vocational training for the vulnerable, including persons with disabilities, indigenous peoples and children in vulnerable situations	C040501	4.5.1	Parity indices (female/male, rural/urban, bottom/top wealth quintile and others such as disability status, indigenous peoples and conflict-affected, as data become available) for all education indicators on this list that can be disaggregated	2020.Q2.G.03	['computer literacy', 'youth', 'advancement of women', 'gender equality', 'women', 'children', 'girls']	SE_GPI_ICTS	Gender parity index for youth/adults with information and communications technology (ICT) skills, by type of skill (ratio)	203	Czechia	4	151	Eastern Europe	Country	15.33151382	49.73913871	CZE	1	1			SKILL_ICTCPT	Using copy and paste tools to duplicate or move information within a document	[2016]	2016	2016	1	RO	Ratio	G	Global			0.96798			0.96798				Community survey on ICT usage in households and by individuals (Eurostat)		C: Country data
4	Goal 4	Ensure inclusive and equitable quality education and promote lifelong learning opportunities for all	4.5	By 2030, eliminate gender disparities in education and ensure equal access to all levels of education and vocational training for the vulnerable, including persons with disabilities, indigenous peoples and children in vulnerable situations	C040501	4.5.1	Parity indices (female/male, rural/urban, bottom/top wealth quintile and others such as disability status, indigenous peoples and conflict-affected, as data become available) for all education indicators on this list that can be disaggregated	2020.Q2.G.03	['computer literacy', 'youth', 'advancement of women', 'gender equality', 'women', 'children', 'girls']	SE_GPI_ICTS	Gender parity index for youth/adults with information and communications technology (ICT) skills, by type of skill (ratio)	203	Czechia	4	151	Eastern Europe	Country	15.33151382	49.73913871	CZE	1	1			SKILL_ICTPST	Creating electronic presentations with presentation software	[2016]	2016	2016	1	RO	Ratio	G	Global			0.82332			0.82332				Community survey on ICT usage in households and by individuals (Eurostat)		C: Country data
4	Goal 4	Ensure inclusive and equitable quality education and promote lifelong learning opportunities for all	4.5	By 2030, eliminate gender disparities in education and ensure equal access to all levels of education and vocational training for the vulnerable, including persons with disabilities, indigenous peoples and children in vulnerable situations	C040501	4.5.1	Parity indices (female/male, rural/urban, bottom/top wealth quintile and others such as disability status, indigenous peoples and conflict-affected, as data become available) for all education indicators on this list that can be disaggregated	2020.Q2.G.03	['computer literacy', 'youth', 'advancement of women', 'gender equality', 'women', 'children', 'girls']	SE_GPI_ICTS	Gender parity index for youth/adults with information and communications technology (ICT) skills, by type of skill (ratio)	203	Czechia	4	151	Eastern Europe	Country	15.33151382	49.73913871	CZE	1	1			SKILL_ICTPRGM	Writing a computer program using a specialized programming language	[2016]	2016	2016	1	RO	Ratio	G	Global			0.18519			0.18519				Community survey on ICT usage in households and by individuals (Eurostat)		C: Country data
4	Goal 4	Ensure inclusive and equitable quality education and promote lifelong learning opportunities for all	4.5	By 2030, eliminate gender disparities in education and ensure equal access to all levels of education and vocational training for the vulnerable, including persons with disabilities, indigenous peoples and children in vulnerable situations	C040501	4.5.1	Parity indices (female/male, rural/urban, bottom/top wealth quintile and others such as disability status, indigenous peoples and conflict-affected, as data become available) for all education indicators on this list that can be disaggregated	2020.Q2.G.03	['computer literacy', 'youth', 'advancement of women', 'gender equality', 'women', 'children', 'girls']	SE_GPI_ICTS	Gender parity index for youth/adults with information and communications technology (ICT) skills, by type of skill (ratio)	203	Czechia	4	151	Eastern Europe	Country	15.33151382	49.73913871	CZE	1	1			SKILL_ICTSFWR	Finding, downloading, installing and configuring software	[2016]	2016	2016	1	RO	Ratio	G	Global			0.56022			0.56022				Community survey on ICT usage in households and by individuals (Eurostat)		C: Country data
4	Goal 4	Ensure inclusive and equitable quality education and promote lifelong learning opportunities for all	4.5	By 2030, eliminate gender disparities in education and ensure equal access to all levels of education and vocational training for the vulnerable, including persons with disabilities, indigenous peoples and children in vulnerable situations	C040501	4.5.1	Parity indices (female/male, rural/urban, bottom/top wealth quintile and others such as disability status, indigenous peoples and conflict-affected, as data become available) for all education indicators on this list that can be disaggregated	2020.Q2.G.03	['computer literacy', 'youth', 'advancement of women', 'gender equality', 'women', 'children', 'girls']	SE_GPI_ICTS	Gender parity index for youth/adults with information and communications technology (ICT) skills, by type of skill (ratio)	203	Czechia	4	151	Eastern Europe	Country	15.33151382	49.73913871	CZE	1	1			SKILL_ICTSSHT	Using basic arithmetic formula in a spreadsheet	[2016]	2016	2016	1	RO	Ratio	G	Global			0.90049			0.90049				Community survey on ICT usage in households and by individuals (Eurostat)		C: Country data
4	Goal 4	Ensure inclusive and equitable quality education and promote lifelong learning opportunities for all	4.5	By 2030, eliminate gender disparities in education and ensure equal access to all levels of education and vocational training for the vulnerable, including persons with disabilities, indigenous peoples and children in vulnerable situations	C040501	4.5.1	Parity indices (female/male, rural/urban, bottom/top wealth quintile and others such as disability status, indigenous peoples and conflict-affected, as data become available) for all education indicators on this list that can be disaggregated	2020.Q2.G.03	['computer literacy', 'youth', 'advancement of women', 'gender equality', 'women', 'children', 'girls']	SE_GPI_ICTS	Gender parity index for youth/adults with information and communications technology (ICT) skills, by type of skill (ratio)	203	Czechia	4	151	Eastern Europe	Country	15.33151382	49.73913871	CZE	1	1			SKILL_ICTCMFL	Copying or moving a file or folder	[2016]	2016	2016	1	RO	Ratio	G	Global			0.92568			0.92568				Community survey on ICT usage in households and by individuals (Eurostat)		C: Country data
4	Goal 4	Ensure inclusive and equitable quality education and promote lifelong learning opportunities for all	4.5	By 2030, eliminate gender disparities in education and ensure equal access to all levels of education and vocational training for the vulnerable, including persons with disabilities, indigenous peoples and children in vulnerable situations	C040501	4.5.1	Parity indices (female/male, rural/urban, bottom/top wealth quintile and others such as disability status, indigenous peoples and conflict-affected, as data become available) for all education indicators on this list that can be disaggregated	2020.Q2.G.03	['computer literacy', 'youth', 'advancement of women', 'gender equality', 'women', 'children', 'girls']	SE_GPI_ICTS	Gender parity index for youth/adults with information and communications technology (ICT) skills, by type of skill (ratio)	203	Czechia	4	151	Eastern Europe	Country	15.33151382	49.73913871	CZE	1	1			SKILL_ICTTRFF	Transferring files between a computer and other devices	[2016]	2016	2016	1	RO	Ratio	G	Global			0.85593			0.85593				Community survey on ICT usage in households and by individuals (Eurostat)		C: Country data
4	Goal 4	Ensure inclusive and equitable quality education and promote lifelong learning opportunities for all	4.5	By 2030, eliminate gender disparities in education and ensure equal access to all levels of education and vocational training for the vulnerable, including persons with disabilities, indigenous peoples and children in vulnerable situations	C040501	4.5.1	Parity indices (female/male, rural/urban, bottom/top wealth quintile and others such as disability status, indigenous peoples and conflict-affected, as data become available) for all education indicators on this list that can be disaggregated	2020.Q2.G.03	['computer literacy', 'youth', 'advancement of women', 'gender equality', 'women', 'children', 'girls']	SE_GPI_ICTS	Gender parity index for youth/adults with information and communications technology (ICT) skills, by type of skill (ratio)	208	Denmark	4	154	Northern Europe	Country	9.326571283	56.03829721	DNK	1	1			SKILL_ICTSSHT	Using basic arithmetic formula in a spreadsheet	[2016]	2016	2016	1	RO	Ratio	G	Global			0.8647			0.8647				Community survey on ICT usage in households and by individuals (Eurostat)		C: Country data
4	Goal 4	Ensure inclusive and equitable quality education and promote lifelong learning opportunities for all	4.5	By 2030, eliminate gender disparities in education and ensure equal access to all levels of education and vocational training for the vulnerable, including persons with disabilities, indigenous peoples and children in vulnerable situations	C040501	4.5.1	Parity indices (female/male, rural/urban, bottom/top wealth quintile and others such as disability status, indigenous peoples and conflict-affected, as data become available) for all education indicators on this list that can be disaggregated	2020.Q2.G.03	['computer literacy', 'youth', 'advancement of women', 'gender equality', 'women', 'children', 'girls']	SE_GPI_ICTS	Gender parity index for youth/adults with information and communications technology (ICT) skills, by type of skill (ratio)	208	Denmark	4	154	Northern Europe	Country	9.326571283	56.03829721	DNK	1	1			SKILL_ICTCPT	Using copy and paste tools to duplicate or move information within a document	[2016]	2016	2016	1	RO	Ratio	G	Global			0.9446			0.9446				Community survey on ICT usage in households and by individuals (Eurostat)		C: Country data
4	Goal 4	Ensure inclusive and equitable quality education and promote lifelong learning opportunities for all	4.5	By 2030, eliminate gender disparities in education and ensure equal access to all levels of education and vocational training for the vulnerable, including persons with disabilities, indigenous peoples and children in vulnerable situations	C040501	4.5.1	Parity indices (female/male, rural/urban, bottom/top wealth quintile and others such as disability status, indigenous peoples and conflict-affected, as data become available) for all education indicators on this list that can be disaggregated	2020.Q2.G.03	['computer literacy', 'youth', 'advancement of women', 'gender equality', 'women', 'children', 'girls']	SE_GPI_ICTS	Gender parity index for youth/adults with information and communications technology (ICT) skills, by type of skill (ratio)	208	Denmark	4	154	Northern Europe	Country	9.326571283	56.03829721	DNK	1	1			SKILL_ICTCMFL	Copying or moving a file or folder	[2016]	2016	2016	1	RO	Ratio	G	Global			0.9349			0.9349				Community survey on ICT usage in households and by individuals (Eurostat)		C: Country data
