series	seriesDescription	geoAreaCode	geoAreaName	timePeriodStart	value	valueType	time_detail	timeCoverage	upperBound	lowerBound	basePeriod	source	geoInfoUrl	footnotes	Nature	Units	Name of international institution	Reporting Type
SG_INT_MBRDEV	Proportion of members of developing countries in international organizations, by organization (%)	296	Kiribati	2000.0	0.54945	Float						The World Bank Annual Report 2000: Financial Statement and Appendixes to the Annual Report		['']	G	PERCENT	IBRD	G
SG_INT_MBRDEV	Proportion of members of developing countries in international organizations, by organization (%)	296	Kiribati	2000.0	0.5291	Float						UN General Assembly website http://www.un.org/en/member-states/index.html		['']	G	PERCENT	UNGA	G
SG_INT_MBRDEV	Proportion of members of developing countries in international organizations, by organization (%)	296	Kiribati	2000.0	0.57471	Float						IFC 2000 Annual Report Volume 2		['']	G	PERCENT	IFC	G
SG_INT_MBRDEV	Proportion of members of developing countries in international organizations, by organization (%)	296	Kiribati	2000.0	1.69492	Float						Asian Development Bank Annual Report 2000		['']	G	PERCENT	ADB	G
SG_INT_MBRDEV	Proportion of members of developing countries in international organizations, by organization (%)	296	Kiribati	2000.0	0.5618	Float						IMF Annual Report 2000		['']	G	PERCENT	IMF	G
SG_INT_MBRDEV	Proportion of members of developing countries in international organizations, by organization (%)	296	Kiribati	2005.0	1.5625	Float						Asian Development Bank Annual Report 2005		['']	G	PERCENT	ADB	G
SG_INT_MBRDEV	Proportion of members of developing countries in international organizations, by organization (%)	296	Kiribati	2005.0	0.54348	Float						International Bank for Reconstruction and Development Management’s Discussion & Analysis and Financial Statements June 30, 2005		['']	G	PERCENT	IBRD	G
SG_INT_MBRDEV	Proportion of members of developing countries in international organizations, by organization (%)	296	Kiribati	2005.0	0.55249	Float						IMF Annual Report 2005		['']	G	PERCENT	IMF	G
SG_INT_MBRDEV	Proportion of members of developing countries in international organizations, by organization (%)	296	Kiribati	2005.0	0.5618	Float						IFC 2005 Annual Report Volume 2		['']	G	PERCENT	IFC	G
SG_INT_MBRDEV	Proportion of members of developing countries in international organizations, by organization (%)	296	Kiribati	2005.0	0.52356	Float						UN General Assembly website http://www.un.org/en/member-states/index.html		['']	G	PERCENT	UNGA	G
SG_INT_MBRDEV	Proportion of members of developing countries in international organizations, by organization (%)	296	Kiribati	2010.0	0.54945	Float						IFC 2010 Annual Report Volume 2		['']	G	PERCENT	IFC	G
SG_INT_MBRDEV	Proportion of members of developing countries in international organizations, by organization (%)	296	Kiribati	2010.0	0.53476	Float						International Bank for Reconstruction and Development Management’s Discussion & Analysis and Financial Statements June 30, 2010		['']	G	PERCENT	IBRD	G
SG_INT_MBRDEV	Proportion of members of developing countries in international organizations, by organization (%)	296	Kiribati	2010.0	0.54945	Float						IMF Annual Report 2010		['']	G	PERCENT	IMF	G
SG_INT_MBRDEV	Proportion of members of developing countries in international organizations, by organization (%)	296	Kiribati	2010.0	0.52083	Float						UN General Assembly website http://www.un.org/en/member-states/index.html		['']	G	PERCENT	UNGA	G
SG_INT_MBRDEV	Proportion of members of developing countries in international organizations, by organization (%)	296	Kiribati	2010.0	1.49254	Float						Asian Development Bank Annual Report 2010		['']	G	PERCENT	ADB	G
SG_INT_MBRDEV	Proportion of members of developing countries in international organizations, by organization (%)	296	Kiribati	2015.0	0.51813	Float						UN General Assembly website http://www.un.org/en/member-states/index.html		['']	G	PERCENT	UNGA	G
SG_INT_MBRDEV	Proportion of members of developing countries in international organizations, by organization (%)	296	Kiribati	2015.0	0.53191	Float						IMF Annual Report 2015		['']	G	PERCENT	IMF	G
SG_INT_MBRDEV	Proportion of members of developing countries in international organizations, by organization (%)	296	Kiribati	2015.0	0.53191	Float						International Bank for Reconstruction and Development Management’s Discussion & Analysis and Financial Statements June 30, 2015		['']	G	PERCENT	IBRD	G
SG_INT_MBRDEV	Proportion of members of developing countries in international organizations, by organization (%)	296	Kiribati	2015.0	1.49254	Float						Asian Development Bank Annual Report 2015		['']	G	PERCENT	ADB	G
