series	seriesDescription	geoAreaCode	geoAreaName	level	parentCode	parentName	type	X	Y	ISO3	UN_Member	Country_Profile	nameOfInternationalInstitution_code	nameOfInternationalInstitution_desc	year	value	time_detail	upperBound	lowerBound	basePeriod	source	footnotes	nature_code	nature_desc	units_code	units_desc	reportingType_code	reportingType_desc	value_detail	lowerBound_detail	upperBound_detail
SG_INT_VRTDEV	Proportion of voting rights of developing countries in international organizations, by organization (%)	152	Chile	5	5	South America	Country	-71.23029019	-35.2652885	CHL	1	1	IO_UNSC	UN Security Council	2015	6.66667					Report of the Security Council (A/70/2)		G	Global monitoring data	PT	Percentage	G	Global			
SG_INT_VRTDEV	Proportion of voting rights of developing countries in international organizations, by organization (%)	156	China	4	30	Eastern Asia	Country	104.1403375	32.30955217	CHN	1	1	IO_UNGA	UN General Assembly	2018	0.51813					UN General Assembly website http://www.un.org/en/member-states/index.html		G	Global monitoring data	PT	Percentage	G	Global			
SG_INT_VRTDEV	Proportion of voting rights of developing countries in international organizations, by organization (%)	156	China	4	30	Eastern Asia	Country	104.1403375	32.30955217	CHN	1	1	IO_WTO	World Trade Organisation	2018	0.60976					WTO Annual Report 2018		G	Global monitoring data	PT	Percentage	G	Global			
SG_INT_VRTDEV	Proportion of voting rights of developing countries in international organizations, by organization (%)	156	China	4	30	Eastern Asia	Country	104.1403375	32.30955217	CHN	1	1	IO_ECOSOC	UN Economic and Social Council	2018	1.85185					Report of the Economic and Social Council on its 2018 Session (A/73/3)		G	Global monitoring data	PT	Percentage	G	Global			
SG_INT_VRTDEV	Proportion of voting rights of developing countries in international organizations, by organization (%)	156	China	4	30	Eastern Asia	Country	104.1403375	32.30955217	CHN	1	1	IO_UNSC	UN Security Council	2018	6.66667					Security Council website http://www.un.org/en/sc/members/		G	Global monitoring data	PT	Percentage	G	Global			
SG_INT_VRTDEV	Proportion of voting rights of developing countries in international organizations, by organization (%)	156	China	4	30	Eastern Asia	Country	104.1403375	32.30955217	CHN	1	1	IO_IMF	International Monetary Fund	2018	6.08739					IMF Annual Report 2018		G	Global monitoring data	PT	Percentage	G	Global			
SG_INT_VRTDEV	Proportion of voting rights of developing countries in international organizations, by organization (%)	156	China	4	30	Eastern Asia	Country	104.1403375	32.30955217	CHN	1	1	IO_IFC	International Finance Corporation	2018	2.30306					IFC 2018 Annual Report Volume 2		G	Global monitoring data	PT	Percentage	G	Global			
SG_INT_VRTDEV	Proportion of voting rights of developing countries in international organizations, by organization (%)	156	China	4	30	Eastern Asia	Country	104.1403375	32.30955217	CHN	1	1	IO_IBRD	International Bank for Reconstruction and Development	2018	4.45019					International Bank for Reconstruction and Development Managementâs Discussion & Analysis and Financial Statements June 30, 2018		G	Global monitoring data	PT	Percentage	G	Global			
SG_INT_VRTDEV	Proportion of voting rights of developing countries in international organizations, by organization (%)	156	China	4	30	Eastern Asia	Country	104.1403375	32.30955217	CHN	1	1	IO_IADB	Inter-American Development Bank	2017	0.004					Inter-American Development Bank Annual Report 2017		G	Global monitoring data	PT	Percentage	G	Global			
SG_INT_VRTDEV	Proportion of voting rights of developing countries in international organizations, by organization (%)	156	China	4	30	Eastern Asia	Country	104.1403375	32.30955217	CHN	1	1	IO_AFDB	African Development Bank	2017	1.1797					African Development Bank Group Annual Report 2017		G	Global monitoring data	PT	Percentage	G	Global			
SG_INT_VRTDEV	Proportion of voting rights of developing countries in international organizations, by organization (%)	156	China	4	30	Eastern Asia	Country	104.1403375	32.30955217	CHN	1	1	IO_ADB	Asian Development Bank	2017	5.454					Asian Development Bank Annual Report 2017		G	Global monitoring data	PT	Percentage	G	Global			
SG_INT_VRTDEV	Proportion of voting rights of developing countries in international organizations, by organization (%)	156	China	4	30	Eastern Asia	Country	104.1403375	32.30955217	CHN	1	1	IO_FSB	Financial Stability Board	2018	5.26316					Financial Stability Board 5th Annual Report		G	Global monitoring data	PT	Percentage	G	Global			
SG_INT_VRTDEV	Proportion of voting rights of developing countries in international organizations, by organization (%)	158	Other non-specified areas	4	30	Eastern Asia	Country						IO_ADB	Asian Development Bank	2017	1.17					Asian Development Bank Annual Report 2017		G	Global monitoring data	PT	Percentage	G	Global			
SG_INT_VRTDEV	Proportion of voting rights of developing countries in international organizations, by organization (%)	158	Other non-specified areas	4	30	Eastern Asia	Country						IO_WTO	World Trade Organisation	2018	0.60976					WTO Annual Report 2018		G	Global monitoring data	PT	Percentage	G	Global			
SG_INT_VRTDEV	Proportion of voting rights of developing countries in international organizations, by organization (%)	170	Colombia	5	5	South America	Country	-73.07446751	3.888209046	COL	1	1	IO_ECOSOC	UN Economic and Social Council	2018	1.85185					Report of the Economic and Social Council on its 2018 Session (A/73/3)		G	Global monitoring data	PT	Percentage	G	Global			
SG_INT_VRTDEV	Proportion of voting rights of developing countries in international organizations, by organization (%)	170	Colombia	5	5	South America	Country	-73.07446751	3.888209046	COL	1	1	IO_IADB	Inter-American Development Bank	2017	3.097					Inter-American Development Bank Annual Report 2017		G	Global monitoring data	PT	Percentage	G	Global			
SG_INT_VRTDEV	Proportion of voting rights of developing countries in international organizations, by organization (%)	170	Colombia	5	5	South America	Country	-73.07446751	3.888209046	COL	1	1	IO_UNGA	UN General Assembly	2018	0.51813					UN General Assembly website http://www.un.org/en/member-states/index.html		G	Global monitoring data	PT	Percentage	G	Global			
SG_INT_VRTDEV	Proportion of voting rights of developing countries in international organizations, by organization (%)	170	Colombia	5	5	South America	Country	-73.07446751	3.888209046	COL	1	1	IO_WTO	World Trade Organisation	2018	0.60976					WTO Annual Report 2018		G	Global monitoring data	PT	Percentage	G	Global			
