series	seriesDescription	geoAreaCode	geoAreaName	timePeriodStart	value	valueType	time_detail	upperBound	lowerBound	basePeriod	source	footnotes	Nature	Units	Type of speed
IT_NET_BBN	Number of fixed Internet broadband subscriptions, by speed (number)	242	Fiji	2005.0	7000	Float					Data based on the World Telecommunication/ICT Indicators Database, 2018, International Telecommunication Union (ITU)	['']	NA	NUMBER	ANYS
IT_NET_BBN	Number of fixed Internet broadband subscriptions, by speed (number)	242	Fiji	2006.0	8500	Float					Data based on the World Telecommunication/ICT Indicators Database, 2018, International Telecommunication Union (ITU)	['']	NA	NUMBER	ANYS
IT_NET_BBN	Number of fixed Internet broadband subscriptions, by speed (number)	242	Fiji	2007.0	11500	Float					ITU estimate.	['']	NA	NUMBER	ANYS
IT_NET_BBN	Number of fixed Internet broadband subscriptions, by speed (number)	242	Fiji	2008.0	13031	Float					Ministry of Public Enterprises, Communications, Civil Aviation and Tourism	['']	NA	NUMBER	ANYS
IT_NET_BBN	Number of fixed Internet broadband subscriptions, by speed (number)	242	Fiji	2009.0	12830	Float					Ministry of Public Enterprises, Communications, Civil Aviation and Tourism	['']	NA	NUMBER	ANYS
IT_NET_BBN	Number of fixed Internet broadband subscriptions, by speed (number)	242	Fiji	2010.0	23250	Float					Ministry of Public Enterprises, Communications, Civil Aviation and Tourism	['']	NA	NUMBER	ANYS
IT_NET_BBN	Number of fixed Internet broadband subscriptions, by speed (number)	242	Fiji	2011.0	23250	Float					Ministry of Public Enterprises, Communications, Civil Aviation and Tourism	['']	NA	NUMBER	ANYS
IT_NET_BBN	Number of fixed Internet broadband subscriptions, by speed (number)	242	Fiji	2012.0	13516	Float					Ministry of Communications	['']	NA	NUMBER	ANYS
IT_NET_BBN	Number of fixed Internet broadband subscriptions, by speed (number)	242	Fiji	2013.0	10927	Float					Ministry of Communications	['']	NA	NUMBER	ANYS
IT_NET_BBN	Number of fixed Internet broadband subscriptions, by speed (number)	242	Fiji	2014.0	12427	Float					Ministry of Communications	['']	NA	NUMBER	ANYS
IT_NET_BBN	Number of fixed Internet broadband subscriptions, by speed (number)	242	Fiji	2015.0	12734	Float					Ministry of Communications	['']	NA	NUMBER	ANYS
IT_NET_BBN	Number of fixed Internet broadband subscriptions, by speed (number)	242	Fiji	2016.0	12332	Float					Ministry of Communications	['']	NA	NUMBER	ANYS
IT_NET_BBN	Number of fixed Internet broadband subscriptions, by speed (number)	242	Fiji	2017.0	12135	Float					Ministry of Communications	['']	NA	NUMBER	ANYS
