series	seriesDescription	geoAreaCode	geoAreaName	value	time_detail	upperBound	lowerBound	basePeriod	source	footnotes	nature_code	nature_desc	units_code	units_desc	reportingType_code	reportingType_desc	timePeriod	value_detail	lowerBound_detail	upperBound_detail	level	parentCode	parentName	type	X	Y	ISO3	UN_Member	Country_Profile
ER_MTN_GRNCVI	Mountain Green Cover Index	100	Bulgaria	97.824182					Food and Agriculture Organisation of United Nations ( FAO)		E	Estimated data	IX	Index	G	Global	2017				4	151	Eastern Europe	Country	25.23763153	42.75731323	BGR	1	1
ER_MTN_GRNCVI	Mountain Green Cover Index	104	Myanmar	98.519096					Food and Agriculture Organisation of United Nations ( FAO)		E	Estimated data	IX	Index	G	Global	2017				4	35	South-Eastern Asia	Country	96.51752295	21.19332882	MMR	1	1
ER_MTN_GRNCVI	Mountain Green Cover Index	108	Burundi	87.671233					Food and Agriculture Organisation of United Nations ( FAO)		E	Estimated data	IX	Index	G	Global	2017				5	14	Eastern Africa	Country	29.89080992	-3.366387428	BDI	1	1
ER_MTN_GRNCVI	Mountain Green Cover Index	11	Western Africa	83.252902					Food and Agriculture Organisation of United Nations ( FAO)		E	Estimated data	IX	Index	G	Global	2017				4	202	Sub-Saharan Africa	Region					
ER_MTN_GRNCVI	Mountain Green Cover Index	112	Belarus						Food and Agriculture Organisation of United Nations ( FAO)	N = The figure is not available because the indicatorâas defined for the global monitoringâdoes not apply to the circumstances of the country, and therefore is not reported.	E	Estimated data	IX	Index	G	Global	2017	N			4	151	Eastern Europe	Country	28.04940161	53.54193075	BLR	1	1
ER_MTN_GRNCVI	Mountain Green Cover Index	116	Cambodia	100.0					Food and Agriculture Organisation of United Nations ( FAO)		E	Estimated data	IX	Index	G	Global	2017				4	35	South-Eastern Asia	Country	104.922836	12.71163737	KHM	1	1
ER_MTN_GRNCVI	Mountain Green Cover Index	12	Algeria	44.04493					Food and Agriculture Organisation of United Nations ( FAO)		E	Estimated data	IX	Index	G	Global	2017				4	15	Northern Africa	Country	2.678164227	28.15940032	DZA	1	1
ER_MTN_GRNCVI	Mountain Green Cover Index	120	Cameroon	90.505545					Food and Agriculture Organisation of United Nations ( FAO)		E	Estimated data	IX	Index	G	Global	2017				5	17	Middle Africa	Country	12.7419827	5.692387031	CMR	1	1
ER_MTN_GRNCVI	Mountain Green Cover Index	124	Canada	77.806798					Food and Agriculture Organisation of United Nations ( FAO)		E	Estimated data	IX	Index	G	Global	2017				4	21	Northern America	Country	-101.6575058	57.72360191	CAN	1	1
ER_MTN_GRNCVI	Mountain Green Cover Index	13	Central America	96.172883					Food and Agriculture Organisation of United Nations ( FAO)		E	Estimated data	IX	Index	G	Global	2017				4	419	Latin America and the Caribbean	Region					
