series	seriesDescription	geoAreaCode	geoAreaName	timePeriodStart	value	valueType	time_detail	upperBound	lowerBound	basePeriod	source	footnotes	Nature	Units	Type of speed	Reporting Type
IT_NET_BBP	Fixed Internet broadband subscriptions per 100 inhabitants, by speed (per 100 inhabitants)	426	Lesotho	2004.0	0.00	Float					Data based on the World Telecommunication/ICT Indicators Database, 2019, International Telecommunication Union (ITU)	['']	NA	PER_100_POP	ANYS	G
IT_NET_BBP	Fixed Internet broadband subscriptions per 100 inhabitants, by speed (per 100 inhabitants)	426	Lesotho	2005.0	0.00	Float					Data based on the World Telecommunication/ICT Indicators Database, 2019, International Telecommunication Union (ITU)	['']	NA	PER_100_POP	ANYS	G
IT_NET_BBP	Fixed Internet broadband subscriptions per 100 inhabitants, by speed (per 100 inhabitants)	426	Lesotho	2007.0	0.01	Float					Data based on the World Telecommunication/ICT Indicators Database, 2019, International Telecommunication Union (ITU)	['']	NA	PER_100_POP	ANYS	G
IT_NET_BBP	Fixed Internet broadband subscriptions per 100 inhabitants, by speed (per 100 inhabitants)	426	Lesotho	2008.0	0.01	Float					Data based on the World Telecommunication/ICT Indicators Database, 2019, International Telecommunication Union (ITU)	['']	NA	PER_100_POP	ANYS	G
IT_NET_BBP	Fixed Internet broadband subscriptions per 100 inhabitants, by speed (per 100 inhabitants)	426	Lesotho	2009.0	0.02	Float					Data based on the World Telecommunication/ICT Indicators Database, 2019, International Telecommunication Union (ITU)	['']	NA	PER_100_POP	ANYS	G
IT_NET_BBP	Fixed Internet broadband subscriptions per 100 inhabitants, by speed (per 100 inhabitants)	426	Lesotho	2010.0	0.02	Float					Data based on the World Telecommunication/ICT Indicators Database, 2019, International Telecommunication Union (ITU)	['']	NA	PER_100_POP	ANYS	G
IT_NET_BBP	Fixed Internet broadband subscriptions per 100 inhabitants, by speed (per 100 inhabitants)	426	Lesotho	2011.0	0.07	Float					Data based on the World Telecommunication/ICT Indicators Database, 2019, International Telecommunication Union (ITU)	['']	NA	PER_100_POP	ANYS	G
IT_NET_BBP	Fixed Internet broadband subscriptions per 100 inhabitants, by speed (per 100 inhabitants)	426	Lesotho	2012.0	0.07	Float					Data based on the World Telecommunication/ICT Indicators Database, 2019, International Telecommunication Union (ITU)	['']	NA	PER_100_POP	256KT2MBPS	G
IT_NET_BBP	Fixed Internet broadband subscriptions per 100 inhabitants, by speed (per 100 inhabitants)	426	Lesotho	2012.0	0.00	Float					Data based on the World Telecommunication/ICT Indicators Database, 2019, International Telecommunication Union (ITU)	['']	NA	PER_100_POP	2MT10MBPS	G
IT_NET_BBP	Fixed Internet broadband subscriptions per 100 inhabitants, by speed (per 100 inhabitants)	426	Lesotho	2012.0	0.08	Float					Data based on the World Telecommunication/ICT Indicators Database, 2019, International Telecommunication Union (ITU)	['']	NA	PER_100_POP	ANYS	G
IT_NET_BBP	Fixed Internet broadband subscriptions per 100 inhabitants, by speed (per 100 inhabitants)	426	Lesotho	2012.0	0.00	Float					Data based on the World Telecommunication/ICT Indicators Database, 2019, International Telecommunication Union (ITU)	['']	NA	PER_100_POP	10MBPS	G
IT_NET_BBP	Fixed Internet broadband subscriptions per 100 inhabitants, by speed (per 100 inhabitants)	426	Lesotho	2013.0	0.11	Float					Data based on the World Telecommunication/ICT Indicators Database, 2019, International Telecommunication Union (ITU)	['']	NA	PER_100_POP	ANYS	G
IT_NET_BBP	Fixed Internet broadband subscriptions per 100 inhabitants, by speed (per 100 inhabitants)	426	Lesotho	2014.0	0.07	Float					Data based on the World Telecommunication/ICT Indicators Database, 2019, International Telecommunication Union (ITU)	['']	NA	PER_100_POP	ANYS	G
IT_NET_BBP	Fixed Internet broadband subscriptions per 100 inhabitants, by speed (per 100 inhabitants)	426	Lesotho	2014.0	0.01	Float					Data based on the World Telecommunication/ICT Indicators Database, 2019, International Telecommunication Union (ITU)	['']	NA	PER_100_POP	10MBPS	G
IT_NET_BBP	Fixed Internet broadband subscriptions per 100 inhabitants, by speed (per 100 inhabitants)	426	Lesotho	2014.0	0.06	Float					Data based on the World Telecommunication/ICT Indicators Database, 2019, International Telecommunication Union (ITU)	['']	NA	PER_100_POP	2MT10MBPS	G
IT_NET_BBP	Fixed Internet broadband subscriptions per 100 inhabitants, by speed (per 100 inhabitants)	426	Lesotho	2015.0	0.06	Float					Data based on the World Telecommunication/ICT Indicators Database, 2019, International Telecommunication Union (ITU)	['']	NA	PER_100_POP	2MT10MBPS	G
IT_NET_BBP	Fixed Internet broadband subscriptions per 100 inhabitants, by speed (per 100 inhabitants)	426	Lesotho	2015.0	0.10	Float					Data based on the World Telecommunication/ICT Indicators Database, 2019, International Telecommunication Union (ITU)	['']	NA	PER_100_POP	ANYS	G
IT_NET_BBP	Fixed Internet broadband subscriptions per 100 inhabitants, by speed (per 100 inhabitants)	426	Lesotho	2016.0	0.11	Float					Data based on the World Telecommunication/ICT Indicators Database, 2019, International Telecommunication Union (ITU)	['']	NA	PER_100_POP	ANYS	G
IT_NET_BBP	Fixed Internet broadband subscriptions per 100 inhabitants, by speed (per 100 inhabitants)	426	Lesotho	2017.0	0.23	Float					Data based on the World Telecommunication/ICT Indicators Database, 2019, International Telecommunication Union (ITU)	['']	NA	PER_100_POP	ANYS	G
IT_NET_BBP	Fixed Internet broadband subscriptions per 100 inhabitants, by speed (per 100 inhabitants)	426	Lesotho	2018.0	0.27	Float					Data based on the World Telecommunication/ICT Indicators Database, 2019, International Telecommunication Union (ITU)	['']	NA	PER_100_POP	ANYS	G
