series	seriesDescription	geoAreaCode	geoAreaName	timePeriodStart	value	valueType	time_detail	upperBound	lowerBound	basePeriod	source	footnotes	Nature	Units	Name of international institution	Reporting Type
SG_INT_MBRDEV	Proportion of members of developing countries in international organizations, by organization (%)	642	Romania	2000.0	0.71429	Float					WTO Annual Report 2015	['']	G	PERCENT	WTO	G
SG_INT_MBRDEV	Proportion of members of developing countries in international organizations, by organization (%)	642	Romania	2000.0	0.54945	Float					The World Bank Annual Report 2000: Financial Statement and Appendixes to the Annual Report	['']	G	PERCENT	IBRD	G
SG_INT_MBRDEV	Proportion of members of developing countries in international organizations, by organization (%)	642	Romania	2000.0	0.5291	Float					UN General Assembly website http://www.un.org/en/member-states/index.html	['']	G	PERCENT	UNGA	G
SG_INT_MBRDEV	Proportion of members of developing countries in international organizations, by organization (%)	642	Romania	2000.0	0.57471	Float					IFC 2000 Annual Report Volume 2	['']	G	PERCENT	IFC	G
SG_INT_MBRDEV	Proportion of members of developing countries in international organizations, by organization (%)	642	Romania	2000.0	0.5618	Float					IMF Annual Report 2000	['']	G	PERCENT	IMF	G
SG_INT_MBRDEV	Proportion of members of developing countries in international organizations, by organization (%)	642	Romania	2005.0	0.55249	Float					IMF Annual Report 2005	['']	G	PERCENT	IMF	G
SG_INT_MBRDEV	Proportion of members of developing countries in international organizations, by organization (%)	642	Romania	2005.0	0.52356	Float					UN General Assembly website http://www.un.org/en/member-states/index.html	['']	G	PERCENT	UNGA	G
SG_INT_MBRDEV	Proportion of members of developing countries in international organizations, by organization (%)	642	Romania	2005.0	0.5618	Float					IFC 2005 Annual Report Volume 2	['']	G	PERCENT	IFC	G
SG_INT_MBRDEV	Proportion of members of developing countries in international organizations, by organization (%)	642	Romania	2005.0	6.66667	Float					Report of the Security Council (A/60/2)	['']	G	PERCENT	UNSC	G
SG_INT_MBRDEV	Proportion of members of developing countries in international organizations, by organization (%)	642	Romania	2005.0	0.67114	Float					WTO Annual Report 2015	['']	G	PERCENT	WTO	G
SG_INT_MBRDEV	Proportion of members of developing countries in international organizations, by organization (%)	642	Romania	2005.0	0.54348	Float					International Bank for Reconstruction and Development Management’s Discussion & Analysis and Financial Statements June 30, 2005	['']	G	PERCENT	IBRD	G
SG_INT_MBRDEV	Proportion of members of developing countries in international organizations, by organization (%)	642	Romania	2010.0	0.54945	Float					IMF Annual Report 2010	['']	G	PERCENT	IMF	G
