series	seriesDescription	geoAreaCode	geoAreaName	timePeriodStart	value	valueType	time_detail	timeCoverage	upperBound	lowerBound	basePeriod	source	geoInfoUrl	footnotes	Nature	Units	Observation Status	Reporting Type
AG_PRD_ORTIND	Agriculture orientation index for government expenditures	64	Bhutan	2001.0	0.27481	Float						Combined IMF and FAO Questionaire. UNSD national account estimates.		['Central Government']	C	INDEX	A	G
AG_PRD_ORTIND	Agriculture orientation index for government expenditures	64	Bhutan	2002.0	0.35389	Float						Combined IMF and FAO Questionaire. UNSD national account estimates.		['Central Government']	C	INDEX	A	G
AG_PRD_ORTIND	Agriculture orientation index for government expenditures	64	Bhutan	2003.0	0.46237	Float						Combined IMF and FAO Questionaire. UNSD national account estimates.		['Central Government']	C	INDEX	A	G
AG_PRD_ORTIND	Agriculture orientation index for government expenditures	64	Bhutan	2004.0	0.42085	Float						Combined IMF and FAO Questionaire. UNSD national account estimates.		['Central Government']	C	INDEX	A	G
AG_PRD_ORTIND	Agriculture orientation index for government expenditures	64	Bhutan	2005.0	0.49129	Float						Combined IMF and FAO Questionaire. UNSD national account estimates.		['Central Government']	C	INDEX	A	G
AG_PRD_ORTIND	Agriculture orientation index for government expenditures	64	Bhutan	2006.0	0.55797	Float						Combined IMF and FAO Questionaire. UNSD national account estimates.		['Central Government']	C	INDEX	A	G
AG_PRD_ORTIND	Agriculture orientation index for government expenditures	64	Bhutan	2007.0	0.61588	Float						Combined IMF and FAO Questionaire. UNSD national account estimates.		['Central Government']	C	INDEX	A	G
AG_PRD_ORTIND	Agriculture orientation index for government expenditures	64	Bhutan	2008.0	0.53404	Float						Combined IMF and FAO Questionaire. UNSD national account estimates.		['Central Government']	C	INDEX	A	G
AG_PRD_ORTIND	Agriculture orientation index for government expenditures	64	Bhutan	2009.0	0.61356	Float						Combined IMF and FAO Questionaire. UNSD national account estimates.		['Central Government']	C	INDEX	A	G
AG_PRD_ORTIND	Agriculture orientation index for government expenditures	64	Bhutan	2010.0	0.65416	Float						Combined IMF and FAO Questionaire. UNSD national account estimates.		['Central Government']	C	INDEX	A	G
AG_PRD_ORTIND	Agriculture orientation index for government expenditures	64	Bhutan	2011.0	0.82988	Float						Combined IMF and FAO Questionaire. UNSD national account estimates.		['Central Government']	C	INDEX	A	G
AG_PRD_ORTIND	Agriculture orientation index for government expenditures	64	Bhutan	2012.0	0.88491	Float						Combined IMF and FAO Questionaire. UNSD national account estimates.		['Central Government']	C	INDEX	A	G
AG_PRD_ORTIND	Agriculture orientation index for government expenditures	64	Bhutan	2013.0	0.84544	Float						Combined IMF and FAO Questionaire. UNSD national account estimates.		['Central Government']	C	INDEX	A	G
AG_PRD_ORTIND	Agriculture orientation index for government expenditures	64	Bhutan	2014.0	0.78566	Float						Combined IMF and FAO Questionaire. UNSD national account estimates.		['Central Government']	C	INDEX	A	G
AG_PRD_ORTIND	Agriculture orientation index for government expenditures	64	Bhutan	2015.0	0.67962	Float						Combined IMF and FAO Questionaire. UNSD national account estimates.		['Central Government']	C	INDEX	A	G
AG_PRD_ORTIND	Agriculture orientation index for government expenditures	64	Bhutan	2016.0	0.75549	Float						Combined IMF and FAO Questionaire. UNSD national account estimates.		['Central Government']	C	INDEX	A	G
AG_PRD_ORTIND	Agriculture orientation index for government expenditures	64	Bhutan	2017.0	0.73898	Float						Combined IMF and FAO Questionaire. UNSD national account estimates.		['Central Government']	C	INDEX	A	G
AG_PRD_ORTIND	Agriculture orientation index for government expenditures	64	Bhutan	2018.0	0.75903	Float						Combined IMF and FAO Questionaire. UNSD national account estimates.		['Central Government']	C	INDEX	I	G
