goal_code,goal_labelEN,goal_descEN,target_code,target_descEN,indicator_code,indicator_reference,indicator_descEN,series_release,series_tags,series,seriesDescription,geoAreaCode,geoAreaName,level,parentCode,parentName,type,X,Y,ISO3,UN_Member,Country_Profile,timeCoverage,geoInfoUrl,years,min_year,max_year,n_years,unitsCode,unitsDesc,reportingTypeCode,reportingTypeDesc,value_2017,latest_value,basePeriod,valueDetails,footnotes,sources,timeDetails,nature
6,Goal 6,Ensure availability and sustainable management of water and sanitation for all,6.6,"By 2020, protect and restore water-related ecosystems, including mountains, forests, wetlands, rivers, aquifers and lakes",C060601,6.6.1,Change in the extent of water-related ecosystems over time,2020.Q1.G.02,"['water', 'natural resources']",EN_WBE_NDWTL,Nationally derived extent of wetlands (square kilometres),108,Burundi,5,14,Eastern Africa,Country,29.89080992,-3.366387428,BDI,1,1,,,[2017],2017,2017,1,KM2,Square kilometers,G,Global,117993.0,117993.0,,,,Environment Live,,C: Country data
6,Goal 6,Ensure availability and sustainable management of water and sanitation for all,6.6,"By 2020, protect and restore water-related ecosystems, including mountains, forests, wetlands, rivers, aquifers and lakes",C060601,6.6.1,Change in the extent of water-related ecosystems over time,2020.Q1.G.02,"['water', 'natural resources']",EN_WBE_NDWTL,Nationally derived extent of wetlands (square kilometres),20,Andorra,4,39,Southern Europe,Country,1.576257417,42.54548611,AND,1,1,,,[2017],2017,2017,1,KM2,Square kilometers,G,Global,4.5159,4.5159,,,,Environment Live,,C: Country data
6,Goal 6,Ensure availability and sustainable management of water and sanitation for all,6.6,"By 2020, protect and restore water-related ecosystems, including mountains, forests, wetlands, rivers, aquifers and lakes",C060601,6.6.1,Change in the extent of water-related ecosystems over time,2020.Q1.G.02,"['water', 'natural resources']",EN_WBE_NDWTL,Nationally derived extent of wetlands (square kilometres),204,Benin,5,11,Western Africa,Country,2.339933594,9.65401646,BEN,1,1,,,[2017],2017,2017,1,KM2,Square kilometers,G,Global,59051.0,59051.0,,,,Environment Live,,C: Country data
6,Goal 6,Ensure availability and sustainable management of water and sanitation for all,6.6,"By 2020, protect and restore water-related ecosystems, including mountains, forests, wetlands, rivers, aquifers and lakes",C060601,6.6.1,Change in the extent of water-related ecosystems over time,2020.Q1.G.02,"['water', 'natural resources']",EN_WBE_NDWTL,Nationally derived extent of wetlands (square kilometres),233,Estonia,4,154,Northern Europe,Country,25.84093481,58.68487172,EST,1,1,,,[2017],2017,2017,1,KM2,Square kilometers,G,Global,4030.481549,4030.481549,,,,Environment Live,,C: Country data
6,Goal 6,Ensure availability and sustainable management of water and sanitation for all,6.6,"By 2020, protect and restore water-related ecosystems, including mountains, forests, wetlands, rivers, aquifers and lakes",C060601,6.6.1,Change in the extent of water-related ecosystems over time,2020.Q1.G.02,"['water', 'natural resources']",EN_WBE_NDWTL,Nationally derived extent of wetlands (square kilometres),242,Fiji,4,54,Melanesia,Country,177.9660884,-17.83301566,FJI,1,1,,,[2017],2017,2017,1,KM2,Square kilometers,G,Global,nan,nan,,,,Environment Live,,C: Country data
6,Goal 6,Ensure availability and sustainable management of water and sanitation for all,6.6,"By 2020, protect and restore water-related ecosystems, including mountains, forests, wetlands, rivers, aquifers and lakes",C060601,6.6.1,Change in the extent of water-related ecosystems over time,2020.Q1.G.02,"['water', 'natural resources']",EN_WBE_NDWTL,Nationally derived extent of wetlands (square kilometres),246,Finland,4,154,Northern Europe,Country,23.308447,61.91586738,FIN,1,1,,,[2017],2017,2017,1,KM2,Square kilometers,G,Global,32650.0,32650.0,,,,Environment Live,,C: Country data
6,Goal 6,Ensure availability and sustainable management of water and sanitation for all,6.6,"By 2020, protect and restore water-related ecosystems, including mountains, forests, wetlands, rivers, aquifers and lakes",C060601,6.6.1,Change in the extent of water-related ecosystems over time,2020.Q1.G.02,"['water', 'natural resources']",EN_WBE_NDWTL,Nationally derived extent of wetlands (square kilometres),388,Jamaica,5,29,Caribbean,Country,-77.31068409,18.15616857,JAM,1,1,,,[2017],2017,2017,1,KM2,Square kilometers,G,Global,134.78529,134.78529,,,,Environment Live,,C: Country data
6,Goal 6,Ensure availability and sustainable management of water and sanitation for all,6.6,"By 2020, protect and restore water-related ecosystems, including mountains, forests, wetlands, rivers, aquifers and lakes",C060601,6.6.1,Change in the extent of water-related ecosystems over time,2020.Q1.G.02,"['water', 'natural resources']",EN_WBE_NDWTL,Nationally derived extent of wetlands (square kilometres),392,Japan,4,30,Eastern Asia,Country,139.2716103,36.6554539,JPN,1,1,,,[2017],2017,2017,1,KM2,Square kilometers,G,Global,nan,nan,,,,Environment Live,,C: Country data
6,Goal 6,Ensure availability and sustainable management of water and sanitation for all,6.6,"By 2020, protect and restore water-related ecosystems, including mountains, forests, wetlands, rivers, aquifers and lakes",C060601,6.6.1,Change in the extent of water-related ecosystems over time,2020.Q1.G.02,"['water', 'natural resources']",EN_WBE_NDWTL,Nationally derived extent of wetlands (square kilometres),40,Austria,4,155,Western Europe,Country,14.14172472,47.58704857,AUT,1,1,,,[2017],2017,2017,1,KM2,Square kilometers,G,Global,955.4,955.4,,,,Environment Live,,C: Country data
6,Goal 6,Ensure availability and sustainable management of water and sanitation for all,6.6,"By 2020, protect and restore water-related ecosystems, including mountains, forests, wetlands, rivers, aquifers and lakes",C060601,6.6.1,Change in the extent of water-related ecosystems over time,2020.Q1.G.02,"['water', 'natural resources']",EN_WBE_NDWTL,Nationally derived extent of wetlands (square kilometres),404,Kenya,5,14,Eastern Africa,Country,37.86096816,0.534797278,KEN,1,1,,,[2017],2017,2017,1,KM2,Square kilometers,G,Global,nan,nan,,,,Environment Live,,C: Country data
