series	seriesDescription	geoAreaCode	geoAreaName	level	parentCode	parentName	type	X	Y	ISO3	UN_Member	Country_Profile	timeCoverage	geoInfoUrl	sex_code	sex_desc	parliamentaryCommittees_code	parliamentaryCommittees_desc	age_code	age_desc	year	value	time_detail	upperBound	lowerBound	basePeriod	source	footnotes	nature_code	nature_desc	units_code	units_desc	reportingType_code	reportingType_desc	value_detail	lowerBound_detail	upperBound_detail
SG_DMK_PARLCC_UC	Number of chairs of permanent committees, by age sex and focus of the committee, Upper Chamber	116	Cambodia	4	35	South-Eastern Asia	Country	104.922836	12.71163737	KHM	1	1			F	Female	PC_GEN_EQU	Gender Equality	Y_GE46	46 years old and over	2020	1.0					IPU	Bicameral: Upper chamber (Senate)	_X	Data nature not available	NUMBER	Number	G	Global			
SG_DMK_PARLCC_UC	Number of chairs of permanent committees, by age sex and focus of the committee, Upper Chamber	116	Cambodia	4	35	South-Eastern Asia	Country	104.922836	12.71163737	KHM	1	1			F	Female	PC_FOR_AFF	Foreign Affairs	Y_GE46	46 years old and over	2020	1.0					IPU	Bicameral: Upper chamber (Senate)	_X	Data nature not available	NUMBER	Number	G	Global			
SG_DMK_PARLCC_UC	Number of chairs of permanent committees, by age sex and focus of the committee, Upper Chamber	12	Algeria	4	15	Northern Africa	Country	2.678164227	28.15940032	DZA	1	1			_U	Unknown	PC_HUM_RIGH	Human Rights	_U	Unknown	2020	1.0					IPU	Bicameral: Upper chamber (Council of the nation). No data on sex and age.	_X	Data nature not available	NUMBER	Number	G	Global			
SG_DMK_PARLCC_UC	Number of chairs of permanent committees, by age sex and focus of the committee, Upper Chamber	12	Algeria	4	15	Northern Africa	Country	2.678164227	28.15940032	DZA	1	1			_U	Unknown	PC_FINANCE	Finance	_U	Unknown	2020	1.0					IPU	Bicameral: Upper chamber (Council of the nation). No data on sex and age.	_X	Data nature not available	NUMBER	Number	G	Global			
SG_DMK_PARLCC_UC	Number of chairs of permanent committees, by age sex and focus of the committee, Upper Chamber	12	Algeria	4	15	Northern Africa	Country	2.678164227	28.15940032	DZA	1	1			_X	Not available	PC_GEN_EQU	Gender Equality	_X	Not available	2020	0.0					IPU	Bicameral: Upper chamber (Council of the nation). No committee.	_X	Data nature not available	NUMBER	Number	G	Global			
SG_DMK_PARLCC_UC	Number of chairs of permanent committees, by age sex and focus of the committee, Upper Chamber	12	Algeria	4	15	Northern Africa	Country	2.678164227	28.15940032	DZA	1	1			_U	Unknown	PC_FOR_AFF	Foreign Affairs	_U	Unknown	2020	1.0					IPU	Bicameral: Upper chamber (Council of the nation). No data on sex and age.	_X	Data nature not available	NUMBER	Number	G	Global			
SG_DMK_PARLCC_UC	Number of chairs of permanent committees, by age sex and focus of the committee, Upper Chamber	12	Algeria	4	15	Northern Africa	Country	2.678164227	28.15940032	DZA	1	1			_U	Unknown	PC_DEFENCE	Defence	_U	Unknown	2020	1.0					IPU	Bicameral: Upper chamber (Council of the nation). No data on sex and age.	_X	Data nature not available	NUMBER	Number	G	Global			
SG_DMK_PARLCC_UC	Number of chairs of permanent committees, by age sex and focus of the committee, Upper Chamber	120	Cameroon	5	17	Middle Africa	Country	12.7419827	5.692387031	CMR	1	1			_U	Unknown	PC_FOR_AFF	Foreign Affairs	_U	Unknown	2020	1.0					IPU	Bicameral: Upper chamber (Senate). No data on sex and age.	_X	Data nature not available	NUMBER	Number	G	Global			
SG_DMK_PARLCC_UC	Number of chairs of permanent committees, by age sex and focus of the committee, Upper Chamber	120	Cameroon	5	17	Middle Africa	Country	12.7419827	5.692387031	CMR	1	1			_U	Unknown	PC_FINANCE	Finance	_U	Unknown	2020	1.0					IPU	Bicameral: Upper chamber (Senate). No data on sex and age.	_X	Data nature not available	NUMBER	Number	G	Global			
SG_DMK_PARLCC_UC	Number of chairs of permanent committees, by age sex and focus of the committee, Upper Chamber	120	Cameroon	5	17	Middle Africa	Country	12.7419827	5.692387031	CMR	1	1			_U	Unknown	PC_GEN_EQU	Gender Equality	_U	Unknown	2020	1.0					IPU	Bicameral: Upper chamber (Senate). No data on sex and age.	_X	Data nature not available	NUMBER	Number	G	Global			
