series	seriesDescription	geoAreaCode	geoAreaName	level	parentCode	parentName	type	X	Y	ISO3	UN_Member	Country_Profile	timeCoverage	geoInfoUrl	year	value	time_detail	upperBound	lowerBound	basePeriod	source	footnotes	nature_code	nature_desc	units_code	units_desc	reportingType_code	reportingType_desc	value_detail	lowerBound_detail	upperBound_detail
GB_XPD_RSDV	Research and development expenditure as a proportion of GDP (%)	1	World	1			Region								2017	1.71669					UNESCO Institute for Statistics (UIS) Survey on Research and Experimental Development Statistics	 	E	Estimated data	PT	Percentage	G	Global			
GB_XPD_RSDV	Research and development expenditure as a proportion of GDP (%)	100	Bulgaria	4	151	Eastern Europe	Country	25.23763153	42.75731323	BGR	1	1			2017	0.75239					Statistical Office of the European Union (Eurostat): Eurostat Science and Technology database	 	C	Country data	PT	Percentage	G	Global			
GB_XPD_RSDV	Research and development expenditure as a proportion of GDP (%)	104	Myanmar	4	35	South-Eastern Asia	Country	96.51752295	21.19332882	MMR	1	1			2017	0.03186					UNESCO Institute for Statistics (UIS) Survey on Research and Experimental Development Statistics	 Excluding Business enterprise;Excluding Private non-profit;Partial data;Break in series with previous year for which data are available	C	Country data	PT	Percentage	G	Global			
GB_XPD_RSDV	Research and development expenditure as a proportion of GDP (%)	108	Burundi	5	14	Eastern Africa	Country	29.89080992	-3.366387428	BDI	1	1			2011	0.12776					UNESCO Institute for Statistics (UIS) Survey on Research and Experimental Development Statistics	 Partial data	C	Country data	PT	Percentage	G	Global			
GB_XPD_RSDV	Research and development expenditure as a proportion of GDP (%)	112	Belarus	4	151	Eastern Europe	Country	28.04940161	53.54193075	BLR	1	1			2018	0.60817					UNESCO Institute for Statistics (UIS) Survey on Research and Experimental Development Statistics	 	C	Country data	PT	Percentage	G	Global			
GB_XPD_RSDV	Research and development expenditure as a proportion of GDP (%)	116	Cambodia	4	35	South-Eastern Asia	Country	104.922836	12.71163737	KHM	1	1			2015	0.11823					UNESCO Institute for Statistics (UIS) Survey on Research and Experimental Development Statistics	 Break in series with previous year for which data are available	C	Country data	PT	Percentage	G	Global			
GB_XPD_RSDV	Research and development expenditure as a proportion of GDP (%)	12	Algeria	4	15	Northern Africa	Country	2.678164227	28.15940032	DZA	1	1			2017	0.54243					UNESCO Institute for Statistics (UIS) Survey on Research and Experimental Development Statistics	 Break in series with previous year for which data are available	C	Country data	PT	Percentage	G	Global			
GB_XPD_RSDV	Research and development expenditure as a proportion of GDP (%)	124	Canada	4	21	Northern America	Country	-101.6575058	57.72360191	CAN	1	1			2018	1.55277					Organisation for Economic Co-operation and Development (OECD): Research and Development Statistics (RDS) database	 Provisional data	C	Country data	PT	Percentage	G	Global			
GB_XPD_RSDV	Research and development expenditure as a proportion of GDP (%)	127	Southern Asia (excluding India)	1			Group								2017	0.45528					UNESCO Institute for Statistics (UIS) Survey on Research and Experimental Development Statistics	 	E	Estimated data	PT	Percentage	G	Global			
GB_XPD_RSDV	Research and development expenditure as a proportion of GDP (%)	132	Cabo Verde	5	11	Western Africa	Country	-23.63544151	15.07791834	CPV	1	1			2011	0.07264					African Science, Technology and Innovation Indicators (ASTII) Initiative of the African Union/NEPAD Planning and Coordinating Agency (AU/NPCA): African Innovation Outlook series	 Higher Education only;Partial data;Source: Regional Publication	C	Country data	PT	Percentage	G	Global			
